COUNTRY,STAGE,STAGE2,Presence_Absence,Mar_supraN,Mar_subN,Mar_Nat,Mar_org,marine_mech,marine_not,Focus,Richness,EEZ_Protected,mar_mam,mar_bird,mam_bird,Polity2,GDP,Rents,OHI
Bulgaria,In Progress,3,1,1,0,2,0,2,1,Wetland,0.284097082,0.001857531,2.08E-05,0.000167,0.00025,9,50201314895,1.890540746,64.93
Cambodia,Potential,1,1,1,0,0,0,1,0,,0.494759556,0.03875737,0.000544059,0.00034,0.000884,2,18049954289,2.028656627,64.29
Cameroon,Preliminary,2,1,0,0,0,3,3,1,Biodiversity,0.121184164,0.008527588,7.02E-07,0.000001,0.000001,-4,30916218544,6.167600645,42.6
Canada,Established,4,1,0,2,2,0,2,1,Fish_Wetland,0.086310677,0.00077672,9.20E-05,0.000167,0.000276,10,1.56E+12,0.887725962,83.46
Cayman Islands,None,0,0,0,0,0,0,0,0,,0.519611481,0.043702959,5.47E-07,0.000001,0.000001,,,,69.29
Chile,In Progress,3,1,0,0,2,0,2,1,Biodiversity,0.229616941,0.0372612,6.83E-06,0.00003,0.00004,10,2.44E+11,12.19587705,77.11
China,Preliminary,2,1,0,0,2,0,2,3,Marine Ecosystems,0.087046792,0.0372612,1.14E-05,0.00003,0.000043,-7,1.11E+13,1.276208883,74.69
Colombia,Established,4,1,0,0,2,0,2,1,Biodiversity,0.111739394,0.020638343,9.58E-06,0.00001,0.000019,7,2.93E+11,3.578607765,59.84
Comoros,None,0,0,0,0,0,0,0,0,,0.481176922,0.000226579,2.42E-05,0.000018,0.000042,9,988150249.5,4.612404047,42.7
Congo,None,0,0,0,0,0,0,0,0,,0.182029427,0.032051797,0.000125428,0.000151,0.000276,-4,8553154580,23.34277804,51.31
Cook Islands,None,0,0,0,0,0,0,0,0,,0.313291396,7.40E-06,1.01E-06,0.000006,0.000007,,,,76.28
Costa Rica,In Progress,3,1,0,0,2,0,2,1,Mangrove,0.480543011,0.008334517,6.94E-06,0.000012,0.000021,10,54775994478,1.256184932,58.47
Cote d'Ivoire,None,0,0,0,0,0,0,0,0,,0.282877675,0.001390969,2.29E-05,0.000017,0.00004,4,39633467836,5.482997791,43.26
Croatia,In Progress,3,1,1,0,0,0,1,0,,0.261268711,0.090717315,5.41E-05,0.00018,0.000361,9,49490142433,0.663945914,53.81
Cuba,Potential,1,1,0,0,2,0,2,1,Costal environments,0.512206533,0.025539998,2.73E-06,0.000008,0.000011,-7,87133000000,0.805226822,77
Curaðcao,None,0,0,0,0,0,0,0,0,,0.450662,0.000340593,6.55E-05,0.000065,0.000164,,,,58.66
Cyprus,In Progress,3,1,1,0,0,0,1,0,,0.075224199,0.001226095,3.05E-05,0.000061,0.000163,10,19680625485,0.062873346,79.39
"Korea, Democratic People's Republic of",None,0,0,0,0,0,0,0,0,,0.434284937,0.000220752,6.04E-05,0.000138,0.000216,-10,,,52.73
Democratic Republic of the Congo,None,0,0,0,0,0,0,0,0,,0.045606248,0.00236706,0.00037692,0.000302,0.000678,5,37917704900,34.01657923,49.2
Denmark,Established,4,1,1,0,2,0,2,1,Biodiversity,0.193690571,0.182167179,3.98E-05,0.000109,0.000159,10,3.01E+11,0.518624291,88.84
Djibouti,None,0,0,0,0,0,0,0,0,,0.353111928,0.005418782,0.000568901,0.000284,0.000853,4,1633741923,0.91861147,51.96
Dominica,None,0,0,0,0,0,0,0,0,,0.470487039,0.000135656,6.96E-05,0.000139,0.000209,,540830666.7,0.065965938,70.98
Dominican Republic,Preliminary,0,0,0,0,0,0,0,0,,0.478194633,0.090798902,1.11E-05,0.000011,0.000022,8,68802092021,1.977932094,63.18
Timor-Leste,Preliminary,2,0,0,0,2,0,2,1,Environment,0.59347109,0.013639583,7.06E-05,0.000094,0.000165,8,3104400000,0.295165913,49.75
Ecuador,Preliminary,2,1,0,0,1,0,1,0,,0.308828127,0.130506395,6.48E-06,0.000019,0.000027,5,99290381000,3.85857414,62.28
Egypt,In Progress,3,1,0,0,2,0,2,1,Costal environments,0.30567341,0.049514797,2.54E-05,0.00003,0.000085,-4,3.33E+11,3.850284184,69.05
El Salvador,None,0,0,0,0,0,0,0,0,,0.478112378,0.007054479,2.12E-05,0.000042,0.000074,,23166030400,0.912326809,69.52
